Machine Type,Power Rating (kW),Utilization Rate (%),Production Volume,Batch Size,Shift Timing,Ambient Temperature (°C),Production Time (min),Energy Consumption (kWh)
Molding,13.98094787398185,97.99468725602385,4352,474,Night,20.411833204888868,875.003174483411,193.69177227168677
Packaging,46.754114235324174,74.26780850884958,3429,296,Day,25.949676876948224,343.9493554666224,193.32773677706913
Packaging,34.36326620084054,99.0126864645229,3177,112,Night,23.012443987854166,117.69903245248304,57.707072752356765
Packaging,42.292572030762095,53.72253964350452,2425,481,Night,22.119248601831647,495.0361862944879,187.5005324532105
Molding,30.425997764845324,97.98436128332786,4071,104,Day,26.742603314850765,204.4969923373577,100.87507977507798
Molding,34.64846279220546,40.18935734100365,1104,307,Evening,28.267363914856116,470.8918000665321,111.51669010560734
Assembly,44.75403007204656,32.84863406429199,3760,72,Day,14.756067346449766,99.7187167901705,20.705858542851516
Assembly,26.593918792392923,32.30888423182218,3618,157,Evening,29.504551104354633,212.06726087614257,25.48093613121374
Molding,37.66365920395608,62.54092594194589,1094,225,Day,18.93760004351711,403.40783666298324,159.5529742901846
Assembly,10.807796923373317,35.81029382350164,1836,424,Day,23.477563004004082,453.99398254518593,33.36383032356119
Molding,19.61270428022603,65.85175189173212,1722,64,Day,23.189641990569257,133.30415395749702,24.992149551103527
Packaging,35.66746031899199,52.925035245623036,2727,356,Day,26.938565209097412,291.58857393275207,92.68100287703966
Molding,46.414891251066095,53.49402947318809,2053,201,Evening,21.094728223466408,388.1048617519601,163.85790708062385
Assembly,33.30403747137998,74.49262975816188,4808,325,Evening,28.906765939523158,432.2732456383922,177.8542298729334
Molding,18.87888174122931,41.41686043061341,3592,361,Evening,20.98631049819081,555.2827745122388,61.57577160770071
Assembly,27.81621714311339,83.65873592378117,2025,87,Day,30.254341295521954,91.03289532745083,43.77609078353864
Assembly,24.203790654527594,70.74216438450443,272,330,Day,24.2438553534712,446.45531576577383,128.08399327743425
Molding,35.79174451368424,94.04612401932576,1292,135,Day,25.89237489785378,265.76825144928836,155.99047754447375
Packaging,44.81316138216377,55.53884576372664,1226,485,Night,30.13365420046435,568.3736878242693,231.67394959673442
Packaging,41.034457546346076,98.79004944469878,327,484,Day,24.121941339268655,399.69033948999015,271.735102087458
Packaging,13.359580055566358,70.30793526998163,3743,480,Night,35.93878763605892,387.1522258340991,62.747332688319815
Packaging,45.61236791098257,98.13813693312737,2086,373,Night,24.04204538927026,311.6603994856875,231.08665904962524
Assembly,28.870686045992944,31.89424578329807,3828,129,Day,26.0954060464276,189.83479344141375,38.36274447873281
Packaging,39.75448579543993,80.95834256886715,1334,369,Day,33.06566978250162,380.2098590219005,207.5156601693421
Molding,18.721883100688903,87.16350670049154,3866,220,Evening,27.51278863505404,366.11312781702014,102.45575453267155
Molding,44.194537233938306,33.72213006735413,4716,120,Night,29.481525381305218,284.3443674652355,68.88691361996662
Molding,23.34364884525398,70.5278764811372,3815,137,Evening,23.209080628271174,305.83015960284075,86.34122574941766
Molding,33.04228306276472,86.13596055126138,4621,106,Day,14.824660945621941,183.33956295121914,83.84041967843346
Molding,12.80941776394101,69.2727107656151,2221,216,Night,22.036790089845308,467.6881664530166,72.18798513317577
Molding,19.27731062066285,34.46695132838266,442,168,Night,24.817694362957898,278.1992596659958,27.05530832049389
Packaging,13.683219724944792,78.54130686288181,4566,334,Day,21.2916730566699,392.54372585777577,70.57756850237081
Molding,23.507720301036404,34.2417840271316,3031,285,Night,25.301117070001975,583.8401686340945,79.60522806109005
Molding,16.800868321167467,87.2228226511507,4417,459,Night,17.522027893182706,757.5324913714469,189.61969937689895
Assembly,37.676401064782475,33.01239283146861,4835,447,Day,25.422199267834397,460.4051735311851,101.08175874092173
Molding,13.39391530604253,39.61781667072596,1458,369,Evening,21.35420660392139,785.6976698414982,61.513260681506864
Packaging,34.70962002499992,49.257531336628794,2521,352,Day,16.82654150138682,322.15396454027615,88.77656773321459
Molding,18.753975879627564,74.335535458256,4932,69,Night,25.60278580683266,171.04589885873818,43.59944648984144
Packaging,47.80645828711587,98.34513697419142,3274,56,Evening,25.126304900575022,64.55786278846595,51.811342385571365
Packaging,47.323762924394174,38.24759968339541,837,259,Day,23.397045043410785,265.46191755209276,78.82894256697926
Molding,22.824148921006206,39.98953684497429,4760,287,Night,20.330551178620514,634.3010725756304,99.23779832004793
Molding,41.492222314705415,55.82092776906862,1126,399,Day,19.82996696844466,918.6178970735505,353.4498703290736
Packaging,11.120212778898338,88.53533964287242,4739,433,Evening,32.41896715112843,461.6251205734245,77.0001718196994
Packaging,47.27154172204696,62.70616669255699,1203,163,Day,28.484408759919894,154.19853016435547,75.81870773976586
Packaging,30.919492327668387,52.51274201790751,2783,358,Evening,22.132095094717883,427.2514673989446,127.26135712362134
Packaging,11.72892605671116,69.28426825462029,495,498,Night,22.26363676386027,479.19732801571587,70.10704766362775
Molding,28.43999966439059,48.2366238212025,3039,207,Night,19.767187460081487,478.2961350543692,105.72061544798852
Molding,15.688774169339242,58.08119350732646,4584,371,Day,24.28002400447091,788.6202757891928,123.59814441643158
Molding,30.861333089921274,53.28236044624293,3431,448,Day,31.203500879866844,847.4027265863508,234.7257614791066
Packaging,36.79705368645293,86.28987156902522,1634,176,Day,27.405676490331842,187.29502441794216,93.0470501860769
Assembly,28.795596321657584,94.69790085066006,144,252,Day,29.48049818429415,275.3913522240379,127.90359658840177
Molding,30.418664386533813,83.17005345098383,2079,273,Night,19.09016378589526,644.8942182296236,264.80732471364047
Molding,17.71953818594231,60.73585032209884,1964,119,Day,22.0904373928986,218.2234378176498,41.1684944284062
Molding,23.757074193295505,65.30344842476646,1907,397,Day,26.456465745017233,642.3735605463742,167.30564455745653
Molding,16.806877811440852,38.7551585750605,2374,169,Day,13.830662767337557,291.23195314528016,35.2360125554714
Packaging,42.29994926626643,82.28052977941765,4544,490,Evening,21.781848950892,480.42274211351435,273.20635457378
Assembly,15.409593119388902,71.75329755765308,2260,202,Night,20.73795071050244,283.5519822990751,51.31882135494432
Packaging,33.81493466195574,93.17079972962054,3201,72,Night,31.606480474225346,81.44357671095807,39.60494195859199
Assembly,23.709616543553835,44.042780050260724,2423,189,Night,29.323031514697227,232.70228044213914,41.78190850981397
Molding,22.846962463448808,83.18082853528284,3533,481,Day,27.405935282269667,757.9003227798314,239.51900697946184
Packaging,35.57873757968415,77.92701632034328,4921,161,Night,24.77495685123265,189.9554804982034,91.8380791862864
Packaging,28.280092375077626,48.60918736668265,3607,187,Day,27.759300504484703,224.2928742896202,53.80212831620031
Assembly,26.005818691382366,76.71650476785776,903,450,Evening,23.69335807900352,621.7424212514469,203.1586782526204
Packaging,33.714080195688865,94.70613664036547,2169,229,Evening,29.717054905616454,192.13863835928072,106.1547193782222
Assembly,29.650705139600028,94.29051913669832,4580,168,Day,20.48056480584178,207.6873999703711,96.27567546958893
Assembly,22.139368342062433,80.37386021612988,590,179,Evening,19.678317045493067,239.15062682409558,70.40760926107073
Assembly,32.362451510610065,33.36511787738421,1579,237,Night,24.64955265853815,289.9259548116372,51.27228029527187
Molding,44.13593167443334,91.0585036124113,3035,490,Night,26.279131199587876,1120.4703859444194,757.2361246027873
Molding,13.281271612169004,76.0445024903178,1803,130,Day,30.937895344810165,297.2368988595121,49.7553302759774
Molding,34.361842987568416,51.73039772279141,4416,250,Day,20.891106055878645,508.6093536551746,147.74186873520944
Assembly,12.30733138334175,43.10752531939895,3765,480,Evening,24.788757749171317,693.1585642492441,62.7982482580121
Molding,20.94745987526933,38.134270409812196,2112,376,Night,25.62471894114935,674.6424517347616,84.19674901587635
Assembly,32.42034936311892,33.516582948043265,4786,446,Evening,21.6664053119871,667.8747851618788,124.89993359719796
Packaging,44.64755661062323,82.78722735655296,3330,123,Night,27.84328985265533,121.876612861449,84.25820327831863
Molding,54.374672601047266,46.50900992602927,242,327,Evening,19.941274556357627,676.5652312061621,286.9076157270938
Assembly,12.797760405545251,31.697705523027857,1949,175,Day,24.381736436264674,258.7147266722025,20.006544846176453
Packaging,26.764203451468266,57.80894562893925,4120,205,Day,26.960608372646515,168.60902694122706,34.07625294314127
Molding,39.984311184218456,63.782495641463726,144,232,Night,26.974592540862808,402.5474779447336,177.85420914792252
Molding,19.059355418416484,41.84611616300889,550,483,Day,26.13756715088253,762.1923077444485,102.55172406779747
Molding,48.740746403749036,33.08338353137849,1359,155,Day,19.080430446504987,258.6846420056462,64.76306041177973
Molding,47.72329240498746,43.238783816864824,1103,429,Night,30.31857998619342,758.1861990901687,258.5635137566209
Packaging,46.133640548271785,77.5371933285602,4877,383,Day,24.776353243963758,453.82643988462314,268.13385393587464
Packaging,10.339440483337722,35.75705740758445,3451,196,Night,17.33382880936445,174.3952646659981,7.6577008014925605
Assembly,18.667369759560106,68.85259213898956,2096,423,Evening,19.21815208002205,508.0068881287176,112.62837328169677
Packaging,43.08746856981287,40.248839153571666,3774,50,Evening,18.029780821325218,41.64793520272242,10.166732707393354
Packaging,36.823202033077415,43.698242150629355,3588,233,Night,19.49212532773379,191.76648796382318,44.01185547187676
Molding,54.930712977527556,57.51545182866891,4988,137,Night,23.832292696578943,317.83661854983364,158.9302149839993
Packaging,12.28718618121066,37.05777352376119,3753,447,Day,13.169146919836066,390.50264144749764,21.391889933525142
Assembly,33.878558628657714,42.1242451947549,3132,241,Night,29.084452902991153,290.81092454860436,69.46985707814073
Packaging,32.76186299574697,54.426668801594786,1594,136,Evening,31.285147669290293,159.25013001001776,44.12435877705246
Packaging,11.426976654421296,53.07683038488568,1172,118,Day,30.33719631699144,97.74816825168571,3.5899594647419093
Molding,36.64905969179921,82.44900399730123,4212,389,Night,18.60138670847628,945.3333825213082,479.2880760654738
Molding,41.25697494287636,35.2347613588497,4344,455,Day,28.06003733602204,696.1427237656852,169.87989579110055
Molding,21.18207236170115,90.23155149664404,1678,159,Night,30.198438500049157,388.2468580671404,116.79378310057591
Assembly,20.933183324986516,87.13625195176184,1335,433,Evening,35.10030818481866,470.4802624349142,133.59031595895283
Packaging,35.61389385190948,83.6194147784357,1839,409,Day,18.44984159239244,399.78675160406095,199.86188094687535
Packaging,28.732037903998332,51.65606537241928,1115,221,Day,28.592165970672355,259.5913058099322,60.76567160710716
Molding,53.184655563279684,87.60172498785514,4912,427,Evening,23.367695048732735,880.4668260352494,689.4169978904085
Assembly,23.695270640367532,42.79614562024965,3065,226,Evening,27.362015532194903,248.20019299754375,48.364048090446765
Assembly,20.666386335528045,38.70864440985198,1659,148,Night,22.35899275099289,184.63043605822494,22.848601665029925
Molding,59.27356513655245,33.146943344264116,1668,85,Night,26.78212825331814,135.95596841896673,47.52786347616309
Molding,55.734516966244,95.7517254103903,2086,274,Evening,35.00391643853394,429.82216333798084,392.8115424873037
Molding,13.391651759951033,51.56076283936916,1610,393,Day,20.890848324450904,752.0672704119793,77.9793051718892
Packaging,40.82914461226264,94.23325161245342,4675,467,Night,18.50409379778812,538.1191733286881,340.0157163799693
Molding,17.296069143609742,49.08294930635308,3956,342,Evening,21.676877592545246,724.6615551825589,107.651890737746
Assembly,11.099407793174837,93.52961715354446,1811,302,Day,27.87094173141695,440.6133128083609,78.20775019741282
Packaging,20.947820638653955,93.27503369922619,4239,100,Night,27.690351334053076,90.46166379913653,34.85010093119038
Molding,24.928602194933006,94.6573231507499,3627,342,Night,15.549571677818578,739.789038823076,286.51679326946834
Packaging,42.77275049387859,64.73074074989356,3968,202,Night,23.930049116490483,199.24631929274665,85.26641043371409
Packaging,38.426689837713404,90.61624007592243,4551,391,Day,27.829275449460916,314.5387268556837,179.64116775259586
Molding,59.117252511936684,96.55361273171242,4669,286,Evening,26.481400400552648,511.81604868192017,482.5564920516539
Assembly,38.46051601247274,52.723185932802565,3769,310,Evening,26.367807515470684,365.9277625771341,125.67978462780607
Molding,32.0762665562903,59.321208397778854,3744,185,Night,31.779732816038734,371.4328617582025,120.24791689686687
Molding,45.54852772537041,80.34681311350208,2260,303,Night,23.858337180742847,716.1840787425452,439.8305975735928
Molding,59.9740352249473,51.025187520631064,1601,358,Day,26.912658099140078,542.6590154796928,272.06841666025844
Assembly,38.40567530250112,82.76665162388613,914,154,Night,19.99480515058042,201.69973840608813,108.61538416629409
Assembly,40.467254239212735,35.17245016494738,4165,416,Night,32.392864012121244,428.36827082489106,100.12999890764956
Molding,57.04152072913244,66.64488690019795,3425,332,Day,18.922736416349277,591.1223124554413,374.1679917348133
Molding,17.4552605429608,38.56194388586216,4596,366,Night,22.163540259536678,864.1188326799021,100.70701177187321
Packaging,38.19137173790907,50.532643350567355,1423,370,Day,25.121274303841673,380.09419503304247,117.83714201610721
Molding,52.838685982437546,48.10377747405304,104,133,Night,22.835478700757196,318.6700092552828,135.42440351954755
Molding,57.810172810602865,88.72524514938662,3617,248,Day,27.38453809845045,478.51350428177165,411.940784182405
Assembly,18.438771588467976,43.54620787843382,1358,94,Night,17.813645525606304,140.6611846592921,20.172474120365553
Packaging,30.157160308969768,86.59135441113833,2134,436,Day,15.977719401735623,423.8526837993843,182.79276752547935
Molding,44.666632686935124,85.57722421355453,299,238,Night,20.35193711089075,592.4203155287681,374.3839983953048
Assembly,19.898709180053498,64.9218138890061,1805,99,Evening,30.70523705497689,144.6206548121095,35.67139605544576
Packaging,34.01891453001096,46.369027891729075,4041,353,Night,15.425041819650096,331.07591143244076,80.26409744198436
Molding,24.36378155990397,45.882743796935586,4031,250,Evening,27.431397009291693,597.7632088606163,105.48058575312197
Packaging,23.33828082126589,62.54472529810935,2168,224,Day,29.795747879269065,250.1171965252393,59.56484926640061
Molding,33.19289743252153,30.61663051754614,3858,191,Evening,25.82244706180651,366.7100126185583,59.516295756670466
Assembly,31.16760394986268,67.19455282279563,3245,324,Day,20.219399088483534,423.85519671794634,138.51114561599925
Assembly,27.974634865006024,96.69456680369387,2943,239,Evening,21.275971940293214,300.22067614978323,136.1473991997444
Assembly,29.727820791517168,40.82948173038176,2296,183,Evening,30.300458163452515,202.58106058629585,33.93229225639588
Molding,26.332260301838044,70.13419350329224,724,440,Day,24.657736488583147,1007.3959796935786,305.08439193442376
Packaging,16.358603760905225,97.32450820511198,2233,150,Night,25.647996276852858,176.54385608164228,44.99250256397659
Molding,14.272798911688293,90.23654976441202,2678,395,Day,24.431496194266444,958.8258928227044,202.7880765932684
Molding,21.406978679600048,89.52660814669382,791,318,Night,25.814564275811527,547.0599468875911,174.95064939312132
Molding,39.93329479227758,87.52949512773324,2697,406,Night,25.645233919961854,999.0329625414204,581.1925905065613
Assembly,41.444617912125295,51.63165242393299,913,351,Evening,29.680332249472123,443.8902888519625,158.23302582156984
Assembly,16.769903897715782,92.34317818867686,1727,82,Day,22.22856821203165,103.89331250030678,22.40123130157358
Molding,17.210657173087125,95.89382458632197,4716,165,Day,20.13334608789864,265.9988368867148,70.20821388247023
Assembly,39.97161442197001,64.70546963093275,3692,146,Day,24.94070809686037,170.1731469806238,75.40994309838331
Molding,26.647599865789903,54.81997330816211,2680,90,Evening,24.430558345893125,207.97661553692177,37.334399671372495
Assembly,48.0599775690941,58.99603109240993,4032,378,Day,25.055295965872073,552.8146218991766,262.9039843545577
Molding,46.2872625892979,53.39445092818859,395,256,Evening,34.72757229182001,618.4196279271875,249.77914847998358
Assembly,23.070241889721235,44.86929094171781,3351,78,Night,21.608978115592656,109.9239510529388,18.31686893894476
Molding,25.898051894097836,73.29139291770227,1254,422,Night,29.116390897705617,862.9960777734055,278.39609481419774
Packaging,30.947935450852363,69.3817820371726,4080,312,Day,23.21724426880896,292.7447215779002,101.84318490132105
Molding,15.798944077354053,62.380954972749294,632,144,Night,28.352267806809845,331.9948965916923,58.19984826121849
Molding,17.64847260697435,36.70917706793823,987,231,Day,25.706290889525242,480.9192565338657,65.87592812971064
Molding,20.441178303177242,85.78250752941999,3372,60,Night,27.268557547693188,110.21447372077301,35.3562059734943
Packaging,40.988943732182406,42.24534939255524,3025,91,Day,28.002527823838218,79.22859250629712,19.771926720298527
Packaging,30.5542943707649,38.019343037723374,2532,310,Evening,21.702873125166963,270.4239688804362,50.07676029666631
Molding,12.507221893173261,73.61499768380632,3697,480,Evening,13.075185791064815,778.904958431115,116.0619377783075
Assembly,36.94066109888436,57.90510528664062,2520,51,Day,29.502137741816444,69.70600828376652,15.391111504409114
Packaging,26.947607146419884,34.18659327466306,3335,92,Evening,12.940812305745904,84.37533165919076,-0.5286682041769275
Assembly,30.434094598551916,54.88978484727407,4718,53,Day,21.659049291801374,75.85359283732787,16.157870223333077
Assembly,18.564649736517424,84.02462465994739,934,386,Evening,19.902267374611824,453.5444888501504,123.33451510308964
Molding,38.48554696291698,73.06744436519682,1477,424,Evening,29.385779666489917,986.2130034510425,450.9658692844207
Molding,58.999355508071446,55.39502160908978,3580,144,Night,33.1795643377274,347.20059796081154,189.34338912636804
Packaging,12.937787640230457,43.42633541442117,4706,496,Day,25.386752638001866,575.891340227167,58.8182177656477
Packaging,21.356695986577225,74.22569345633413,311,108,Day,22.791074490461526,87.58605163931028,27.139156135264187
Assembly,19.71990371443319,92.12887106624487,1026,79,Night,21.21819638529002,79.37606862082075,16.82729921288028
Molding,23.93036691605662,75.23909026111397,2772,435,Evening,26.76559761158409,934.4809642690902,280.3554518856164
Molding,30.17790516313811,86.9032698255157,4132,137,Night,17.96441856683287,226.19203419022173,89.34094520610937
Packaging,42.7243913897667,66.50694869880597,444,379,Night,16.361417276288357,444.95761161091923,208.21691872982086
Packaging,46.5143475985755,80.25797747187201,3182,269,Evening,20.684935406878367,267.7580881148612,162.32661279904988
Packaging,18.088603498358932,92.73587416448467,4531,177,Day,22.672424693452484,182.6673986537533,45.6742207799272
Packaging,31.71799751792451,84.12252847810586,1801,220,Night,14.13399574103741,191.46065871370647,77.45519743252419
Assembly,35.47595888661921,93.6897767378702,4800,401,Night,33.38243976957313,440.74730088232934,239.7768580926993
Molding,37.04771876946456,60.17977214812419,3946,274,Day,21.685364488085064,514.0248207554804,190.3344178573442
Molding,32.83566692145214,93.29541785889396,4116,323,Evening,20.196752416688568,651.6628978881032,337.7692206048106
Packaging,17.679020234369514,73.50970641371953,395,457,Night,28.622103011218798,392.9478370571888,82.89611009471557
Assembly,29.52877436796954,90.90341362571856,2848,214,Day,17.884513897153447,309.85734506322706,142.5810336302459
Molding,31.258311730143785,32.75635713064848,4583,207,Evening,22.944455098137343,406.6067467025178,69.35456572182404
Molding,50.18704140010894,76.04966673394753,1596,246,Evening,26.071312543481476,457.6125274564861,290.92703627806696
Assembly,40.54417436651981,89.35825552145292,3179,364,Evening,20.13619207128041,446.3151038986836,272.3016439945355
Molding,18.431936697872192,42.194142355023985,1667,456,Day,24.3023830494844,991.7586242197598,134.52279903447746
Molding,16.248914523027242,76.32508534254461,2075,79,Day,27.455311604090348,166.79305358440382,37.39017585582259
Assembly,46.32615772910012,87.7468299951642,4232,245,Day,22.45614464009144,316.57271310751764,211.81195941845056
Assembly,31.420335558579907,50.156455874284596,4378,218,Day,34.659601352471654,258.51761957087876,72.99689773335831
Assembly,44.31203749130363,58.367242953447445,4265,356,Day,23.922357569786413,444.1596171805697,193.973168939215
Molding,14.791253787187255,69.86624029494536,336,393,Evening,24.889539559640383,863.5308165660721,150.41661845137506
Packaging,31.06062466086521,66.34173822191934,563,116,Day,24.103414623899127,117.69962623459041,34.92306722436909
Molding,37.89247269965934,32.7432575125995,4386,448,Day,24.921314650083055,733.2282487786633,143.93110454023562
Molding,53.3136975620232,36.90704686597894,1029,233,Day,22.282331936641544,545.0849044021031,178.3961664192991
Packaging,13.904399929188301,37.03266055130529,1986,287,Night,31.044770276419904,247.35435068754722,17.6717947637633
Assembly,19.617822547036372,48.35875338494225,4011,498,Night,31.77464552214669,555.8541947295153,90.45101368116366
Packaging,26.261532555480525,47.21048789617144,4512,251,Day,27.911089548064606,263.61591534664507,56.93751243654594
Assembly,44.63365901679769,81.95556686507598,817,158,Day,25.09075737204301,197.5447051300104,125.55283624415236
Assembly,47.55533260282268,70.09210702113012,757,267,Night,22.62954668184397,281.23192303356336,160.75967499454273
Molding,59.65078174049414,83.47832592516687,1312,488,Night,22.700502427569635,981.4720432477238,819.5506691309137
Molding,58.041287350009036,34.89272401876091,3921,125,Night,36.01168482760879,264.5705683845319,90.66778722888064
Molding,12.285204280529012,63.96499662301204,4152,370,Night,23.200399483857307,737.4232524815271,91.63224377028166
Molding,14.290000389785856,52.66429054856886,2370,51,Day,15.522833190792031,104.86268892479667,20.872675177162876
Packaging,15.904272766303546,89.49575175290224,857,60,Night,32.82904886612734,58.95070069378482,16.896453411424442
Molding,28.74538064497311,79.54524098369323,3578,125,Night,17.504851169675895,221.46159032699336,86.71222857334236
Packaging,43.19672123947835,90.84809295787574,1330,141,Day,19.55845032561544,121.87503508571018,84.73442945463616
Assembly,45.70624781341922,33.24989856842421,3073,146,Evening,24.545483944287533,184.84299361309994,40.80323841317204
Packaging,17.47337625178332,80.45764426966204,2547,219,Day,24.831922557469056,227.0304535418267,50.69763004052623
Assembly,34.786566064788346,67.80058465117045,3358,308,Evening,24.70373289485895,388.47719814809454,144.64809316241036
Assembly,46.694479402611066,87.75000203108961,2112,346,Day,25.819697590889174,413.2824675096798,278.83314541539426
Assembly,28.549269437252832,65.50124136480747,3775,354,Day,21.596847124748162,515.5977123108493,157.0305361801611
Molding,16.97009145373363,67.81463545313363,182,132,Evening,16.896636698800503,253.35485681072564,41.34727289853379
Packaging,28.312546003385,33.623716665944556,3862,131,Night,23.166850325292607,123.5571708990248,19.137246603935463
Molding,30.038155309826745,76.79660055251767,1500,342,Day,19.068446969874543,703.74886525895,279.71204218364363
Molding,39.72758381116833,49.119791292353504,758,397,Night,28.94619038852794,893.1836113008006,286.1741603926065
Assembly,27.546347376284146,31.378574552517435,2972,272,Day,22.157271862453708,364.6105386562118,57.15511183007682
Molding,12.832604488978461,34.650601375422106,1437,312,Night,23.878941394053328,767.2195463215122,54.71836379736546
Packaging,49.75990933654685,97.0099926276218,3324,416,Night,31.870713905462093,463.3234980356482,375.72835054291136
Packaging,31.741609509222837,54.225410270589286,793,87,Day,26.089895077569334,77.0750181670254,21.181254633514886
Packaging,28.94523021938438,90.76529400348113,4427,491,Day,20.895476714241443,582.0860658394497,249.88788676356688
Molding,57.82163383219459,97.17740638484791,1244,182,Evening,23.437145611944114,416.12646603113313,393.69239383017805
Molding,19.481297644179698,96.02870321861259,3356,110,Night,25.077045086158826,218.86640206731747,66.46997645721025
Packaging,17.56950410180993,91.72076684895941,3627,132,Night,28.101761780961418,128.552792118252,34.26614035025329
Assembly,42.32058996251134,92.63907387229106,1952,254,Night,24.9716166710675,288.36215213871293,189.89333171527443
Packaging,20.43324320100035,50.2305631038666,4583,472,Night,20.561350808781643,558.5516541972064,89.72602891952393
Packaging,41.96908425166107,40.60289231822508,2779,77,Evening,30.754856824595617,91.97815483606514,22.81987934142572
Packaging,20.8613393163401,74.74837934615465,963,234,Day,19.10711646063838,190.085997561802,51.299407161520094
Molding,13.59300625080007,64.16739143081767,1349,179,Evening,27.866432826178862,298.0498736626721,40.45102259138865
Molding,36.81670674656237,36.912270308661974,1318,119,Evening,26.464128108905854,236.22193244100512,43.66207059056632
Packaging,17.867457365074454,77.42789212156876,1149,256,Evening,24.55264628474556,291.74433247937253,73.83778988097514
Molding,48.37662206075861,69.40020052393413,3002,205,Night,20.130631235694658,415.0315001144098,226.28598552987913
Molding,42.77758239514311,90.41471805673073,4732,86,Day,11.760063393782103,146.9267068641746,91.89110606193705
Assembly,46.94410671911671,72.6428656981879,4906,266,Day,17.00934233772781,329.3733014072706,189.9963458899153
Packaging,41.319534290629434,70.17623258052276,1594,425,Day,26.89111012908442,348.13971313051974,178.57329645818808
Assembly,17.231038193629075,60.852620633283955,2436,145,Evening,27.0741492740971,191.4914840950627,24.710984340711946
Assembly,42.00632946659185,62.395094892220925,467,298,Night,32.643696488470376,310.1962148338271,135.69049488946465
Molding,42.80337815107311,96.80668588853813,511,232,Evening,25.212593359139852,397.69733985120064,276.64538167346586
Assembly,36.758065670425,39.69122065801675,3193,150,Night,25.255344877896746,224.8208306131556,58.54990879404507
Packaging,43.29051543880595,61.235317300753096,453,277,Night,21.49715257559172,281.3789188522638,118.24462351557723
Molding,39.54355532106913,75.90790637487899,1665,387,Day,23.109866250158806,813.7247088246139,405.0680262248864
